name,address,type,opened,closed,Borough
Sweet Sensation,"2527 65th St Brooklyn, NY 11204",disco,,,Brooklyn
Beritz,"7507 New Utrecht Ave Brooklyn, NY 11214",disco,,,Brooklyn
"Benton-Smith, Ltd","56 E Mt Eden Ave, Bronx, NY 10452",disco,,,Bronx
Star Wars Disco,"79-24 Cypress Ave, Flushing, NY 11385",disco,,,Queens
Zodiac 2000,"63-12 Broadway Woodside, NY 11377",disco,,,Queens
Collage,"63-12 Broadway Woodside, NY 11377",disco,,,Queens
Blueboy Disco,"96-22 Queens Blvd Rego Park, NY 11374",disco,,,Queens
Arch,"616 39th Ave Woodside, NY 11377",disco,,,Queens
Underground,"390 West St, New York, NY 10014",erotica,,,Manhattan
Ann Street Adult Entertainment Center,"21 Ann St, New York, NY 10038",erotica,,,Manhattan
Come Again,"353 E 53rd St, New York, NY 10022",erotica,,,Manhattan
Courageous Books,"250 W 42nd St, New York, NY 10036",erotica,,,Manhattan
Eros I Cinema,"732 8th Ave, New York, NY 10036",erotica,,,Manhattan
G & A Books Inc,"251 W 42nd St, New York, NY 10036",erotica,,,Manhattan
G&D Merchandise,"113 W 42nd St, New York, NY 10036",erotica,,,Manhattan
Gay Treasures,"546 Hudson St, New York, NY 10014",erotica,,,Manhattan
Harmony Video,"139 Christopher St, New York, NY 10014",erotica,,,Manhattan
International Film & Video,"453 W 47th St, New York, NY 10036",erotica,,,Manhattan
New World Video,"201 E 14th St, New York, NY 10003",erotica,,,Manhattan
"117 Christopher Video, Inc.","117 Christopher St, New York, NY 10014",erotica,,,Manhattan
Pink Pussycat Boutique,"161 West 4th Street, New York, NY 10014",erotica,,,Manhattan
Ricky's Place (downstairs),"210 W 42nd St, New York, NY 10036",erotica,,,Manhattan
Show Palace/ SLR Merchandising,"672 8th Ave, New York, NY 10036",erotica,,,Manhattan
Two-Fifty Book Center,"250 W 42nd St, New York, NY 10036",erotica,,,Manhattan
Underground Leather,"390 West St, New York, NY 10014",erotica,,,Manhattan
World of Video,"178 7th Ave S, New York, NY 10014",erotica,,,Manhattan
Xtasy Down Under Male Emporium,"691 8th Ave, New York, NY 10036",erotica,,,Manhattan
Sentry Uniform Cap,"106 New Lots Ave Brooklyn, NY 11212",erotica,,,Brooklyn
Flushing Adult Books & Video (2nd floor),"36-39 Main St Flushing, NY 11354",erotica,,,Queens
The Noose,"261 W 19th St, New York, NY 10011",erotica ,,,Manhattan
Eve's Garden,"119 W 57th St, New York, NY 10019","erotica, Tues-Sat noon-six",,,Manhattan
New Male Box,"210 W 42nd St, New York, NY 10036",erotica/cruising,,,Manhattan
Leather Loft,"313 Amsterdam Ave, New York, NY 10023",gay department store,,,Manhattan
Laminations,"39 Christopher St, New York, NY 10014",gift shop,,,Manhattan
Sheridan Square Health Club,4th and Christopher Streets (Greenwich Village),gym,,,Manhattan
Chelsea Gym,"267 W 17th St, New York, NY 10011",gym,,,Manhattan
East Side Club,"227 E 56th St, New York, NY 10022",health club,,,Manhattan
William Sloane House YMCA,"356 W 34th St, New York, NY 10001",hotel,,,Manhattan
West Side YMCA,"5 W 63rd St, New York, NY 10023",hotel,,,Manhattan
Hotel St. George,"51 Clark St, Brooklyn, NY 11201",hotel,1920,1978,Brooklyn
Albert Hotel,"23 E 10th St, New York, NY 10003",hotel  ,,,Manhattan
Earle Hotel,"103 Waverly Pl, New York, NY 10011",hotel  ,,,Manhattan
Manhattan Towers,"Broadway & W 76th St, New York, NY 10024",hotel  ,,,Manhattan
Marlton Hotel,"5 W 8th St, New York, NY 10011",hotel  ,,,Manhattan
Sutton East,"330 E 56th St, New York, NY 10022",hotel  ,,,Manhattan
Scott Hotel,"132 W 45th St, New York, NY 10036",hotel  ,,,Manhattan
Times Square Motor Inn,"W 43rd St & 8th Ave, New York, NY 10036",hotel  ,,,Manhattan
Van Rensselaser Hotel,"15 E 11th St, New York, NY 10003",hotel  ,,,Manhattan
YMCA- William Sloane House,"356 W 34th St, New York, NY 10001",hotel  ,,,Manhattan
YMCA- West Side Branch,"5 W 63rd St, New York, NY 10023",hotel  ,,,Manhattan
Amandia House,"722 St Nicholas Ave, New York, NY 10031",hotel  ,,,Manhattan
Chelsea Mews Guest House,"344 W 15th St, New York, NY 10011",hotel  ,,,Manhattan
Chelsea Pines Inn,"317 W 14th St, New York, NY 10014",hotel  ,,,Manhattan
Colonial House Inn,"318 W 22nd St, New York, NY 10011",hotel  ,,,Manhattan
Incentra Village House,"32 8th Ave, New York, NY 10014",hotel  ,,,Manhattan
Seaport Bed & Breakfast,"27 Peck Slip, New York, NY 10038",hotel  ,,,Manhattan
David Manscuso Residence/The Loft,"645-547 Broadway, New York, NY 10012",house party,1970,1974,Manhattan
Twelve West,"461 West St, New York, NY 10014",juice bar,,,Manhattan
Tenth of Always,"82 W 3rd St, New York, NY 10012",juice bar,1968,1972,Manhattan
Shaft,"181 2nd Ave, New York, NY 10003",juice bar,,,Manhattan
The Jungle,"303 E 60th St, New York, NY 10022",juice bar,,,Manhattan
The Zoo,"303 E 60th St, New York, NY 10022",juice bar,,,Manhattan
Eagle Leathers,"P.O. Box 441 Canal Street Station, New York, NY. 10013",leather mail order,,,Manhattan
Cherry Grove East,"200 E 14th St, New York, NY 10003",massage,,,Manhattan
Trojan's Den,"162 W 34th St, New York, NY 10001",massage,,,Manhattan
Mini,"727 7th Ave, New York, NY 10019",movies,,,Manhattan
News Stand,"W 42nd St &, 7th Ave, New York, NY 10036",newsstand,,,Manhattan
Club 82,"82 E 4th St, New York, NY 10003",night club,1953,1973,Manhattan
Meow Mix,"269 E Houston St, New York, NY 10002",night club,1996,2004,Manhattan
Paradise Garage,"84 King St, New York, NY 10014",night club,1977,1987,Manhattan
Bon Soir,"40 W 8th St, New York, NY 10011",night club,,,Manhattan
Crazy Horse,"149 Bleecker St, New York, NY 10012",night club,,,Manhattan
Eighty-two Club,"82 E 4th St, New York, NY 10003",night club,,,Manhattan
Red Parrot,"617 W 57th St, New York, NY 10019",night club,,,Manhattan
Plaza Theatre,"314 Flatbush Ave Brooklyn, NY 11217",porn theatre/crusing,,,Brooklyn
The New Gallery (in Van Rensselaer Hotel),"15 E 11th St, New York, NY 10003",private club,,,Manhattan
Corduroy Club,"240 W 38th St, New York, NY 10018",private club,,,Manhattan
The Den,"Greenwich St & W 12th St, New York, NY 10014",private club,,,Manhattan
The Great Society,"2nd Ave & E 14th St, New York, NY 10003",private club,,,Manhattan
Mystique East,"256 E 49th St, New York, NY 10022",private club,,,Manhattan
NY Motorbike Club,"149 W 21st St, New York, NY 10011",private club,,,Manhattan
Table Top Club,"E 93rd St & 3rd Ave, New York, NY 10128",private club,,,Manhattan
Two Penny Club,"36 E 30th St, New York, NY 10016",private club,,,Manhattan
Scotland Yard,"146 West 4th Street, New York, NY 10012",private club,,,Manhattan
Manhole,"28 9th Ave, New York, NY 10014",private club,,,Manhattan
Mood Club,"77 White St, New York, NY 10013",private club,,,Manhattan
The Nine Plus,"202 8th Ave, New York, NY 10011",private club,,,Manhattan
El Baron Club,"74-02 Eliot Ave, Flushing, NY 11379",private club,,,Queens
Cheeks,"644 Roosevelt Ave Woodside, NY 11377",private club,,,Queens
Starship Discovery I,"350 W 42nd St, New York, NY 10036",private disco/cabaret,,,Manhattan
Pompier Restaurant,"82 W 3rd St, New York, NY 10012",resturant,1960,1967,Manhattan
One Potato,"518 Hudson St, New York, NY 10014",resturant,,,Manhattan
Pershings,"234 Columbus Ave, New York, NY 10023",resturant,,,Manhattan
Grand Sea Palace,"346 W 46th St, New York, NY 10036",resturant,,,Manhattan
Max Seafood Restaurant,"305 West End Ave, New York, NY 10023",resturant,,,Manhattan
Pier Nine,"215 2nd Ave, New York, NY 10003",resturant,,,Manhattan
Sazerac House,"533 Hudson St, New York, NY 10014",resturant,,,Manhattan
Tiffany II Restaurant,"222 West 4th Street, New York, NY 10014",resturant,,,Manhattan
The Townhouse Restaurant,"206 E 58th St, New York, NY 10022",resturant,,,Manhattan
El Mirador,"899 1st Ave, New York, NY 10022",resturant,,,Manhattan
Luigi II ,"104 W 13th St, New York, NY 10011",resturant,,,Manhattan
Male Box,"1716 2nd Avenue, New York, NY 10128",resturant,,,Manhattan
Rafiki,"170 Avenue A, New York, NY 10009",resturant,,,Manhattan
The Striped Shirt,"1393 2nd Ave, New York, NY 10021",resturant,,,Manhattan
The Forest,"1436 3rd Ave, New York, NY 10028",resturant,,,Manhattan
Gilded Grape,"719 8th Ave, New York, NY 10036",resturant,,,Manhattan
Hungry Hildas,"709 8th Ave, New York, NY 10036",resturant,,,Manhattan
Ronnie's Supper Club,"324 E 49th St, New York, NY 10022",resturant,,,Manhattan
The Ice Cream Connection,"24 St Marks Pl, New York, NY 10003",resturant,,,Manhattan
Beths,"1623 2nd Ave, New York, NY 10028",resturant,,,Manhattan
Dazzels,"180 Columbus Ave, New York, NY 10023",resturant,,,Manhattan
Yellow Brick Road,"228 W 10th St, New York, NY 10014",resturant,,,Manhattan
Ye Waverly Inn,"16 Bank St, New York, NY 10014",resturant,,,Manhattan
Pete's Café,"135 8th Ave, New York, NY 10011",resturant,,,Manhattan
Belvedere,"239 3rd Ave, New York, NY 10003",resturant,,,Manhattan
Old Forge,"179 3rd Ave, New York, NY 10003",resturant,,,Manhattan
Patrick's,"142 W 10th St, New York, NY 10014",resturant,,,Manhattan
Rumbul's,"20 Christopher St, New York, NY 10014",resturant,,,Manhattan
Cajun,"129 8th Ave, New York, NY 10011",resturant,,,Manhattan
Chelsea Big Wok,"207 10th Ave, New York, NY 10011",resturant,,,Manhattan
Boodles,"1478 1st Ave., New York, NY 10075",resturant,,,Manhattan
La Boutique Fantastique Café,"215 W 92nd St, New York, NY 10025",resturant,,,Manhattan
Tyson's Restaurant,"756 9th Ave, New York, NY 10019",resturant,,,Manhattan
Van Buren,"349 W 46th St, New York, NY 10036",resturant,,,Manhattan
Monster,"80 Grove St, New York, NY 10014",resturant,,,Manhattan
Pete's Place,"317 E 5th St, New York, NY 10003",resturant,,,Manhattan
Wine Press,"1160 1st Ave., New York, NY 10065",resturant,,,Manhattan
Pharoah,"8 Christopher St, New York, NY 10014",resturant,,,Manhattan
Crawfords,"957 1st Ave, New York, NY 10022",resturant,,,Manhattan
Nightbird,"92 2nd Ave, New York, NY 10003",resturant,,,Manhattan
Silver lining,"349 W 46th St, New York, NY 10036",resturant,,,Manhattan
SOB's,"204 Varick St, New York, NY 10014",resturant,,,Manhattan
Waverly Waverly,"147 Waverly Pl, New York, NY 10014",resturant,,,Manhattan
Van D's,"123 E 18th St, New York, NY 10003",resturant,,,Manhattan
Shescape,"41 E 58th St, New York, NY 10022",resturant,,,Manhattan
Holland,"351 W 42nd St, New York, NY 10036",resturant,,,Manhattan
Las Ventanas Restaurant,"329 Bleecker St, New York, NY 10014",resturant,,,Manhattan
Scaramouche Rest.,"157 Duane St, New York, NY 10013",resturant,,,Manhattan
Rogers Restaurant,"21 Greenwich Ave, New York, NY 10014",resturant,,,Manhattan
Mim's Restaurant,"8 Christopher St, New York, NY 10014",resturant,,,Manhattan
Belly Button,"68 Greenwich Ave, New York, NY 10011",resturant,,,Manhattan
Casa Laredo,"551 Hudson St, New York, NY 10014",resturant,,,Manhattan
Frisby,"530 Hudson St, New York, NY 10014",resturant,,,Manhattan
Gallery,"77 Christopher St, New York, NY 10014",resturant,,,Manhattan
Le Jules Verne,"189 W 10th St, New York, NY 10014",resturant,,,Manhattan
Mother Courage,"343 W 11th St, New York, NY 10014",resturant,1972,1977,Manhattan
Silver Dollar,"163 Christopher St, New York, NY 10014",resturant,,,Manhattan
Tor ,"21 Greenwich Ave, New York, NY 10014",resturant,,,Manhattan
Third Avenue El,"895 3rd Ave, New York, NY 10022",resturant,,,Manhattan
Luizzi's,"180 Prince St, New York, NY 10012",resturant,,,Manhattan
Fanelli's,"94 Prince St, New York, NY 10012",resturant,,,Manhattan
Spring Street Restaurant and Bar,"162 Spring St, New York, NY 10012",resturant,,,Manhattan
The Ballroom,"458 W Broadway, New York, NY 10012",resturant,,,Manhattan
E & H Kast,"152 Spring St, New York, NY 10012",resturant,,,Manhattan
Empire Diner,"154 11th Ave, New York, NY 10011",resturant,,,Manhattan
Silhouette,"53 W 19th St, New York, NY 10011",resturant,,,Manhattan
Applause,"360 Lexington Ave, New York, NY 10017",resturant,,,Manhattan
Les Nuages,"1436 3rd Ave, New York, NY 10028",resturant,,,Manhattan
Junior's,"585 Fulton St # 2, Brooklyn, NY 11201",resturant,,,Brooklyn
Il Gamberetto,"555 3rd Ave, New York, NY 10016",resturant/cabaret,,,Manhattan
La Cage Aux Folles,"334 E 73rd St, New York, NY 10021",resturant/cabaret,,,Manhattan
Priory,"224 E 53rd St, New York, NY 10022",resturant/cabaret,,,Manhattan
The East Five Three,"244 E 53rd St, New York, NY 10022",resturant/cabaret,,,Manhattan
TJ's,"957 1st Ave., New York, NY 10022",resturant/cabaret,,,Manhattan
Upstream,"150 E 39th St, New York, NY 10016",resturant/cabaret,,,Manhattan
46th Street,"343 W 46th St, New York, NY 10036",resturant/cabaret,,,Manhattan
Jason's Park Royal,"23 W 73rd St, New York, NY 10023",resturant/cabaret,,,Manhattan
Mickey's,"44 W 54th St, New York, NY 10019",resturant/cabaret,,,Manhattan
Onstage,"349 W 46th St, New York, NY 10036",resturant/cabaret,,,Manhattan
Inner Circle,"13 Jane St, New York, NY 10014",resturant/cabaret,,,Manhattan
Scotts on Tenth,"130 10th Ave, New York, NY 10011",resturant/cabaret,,,Manhattan
Rex Café Expresso,"161 Prince St, New York, NY 10012",resturant/café,,,Manhattan
Legend Gallery,"152 7th Ave S, New York, NY 10014",sex shop,,,Manhattan
Leather Rack,"247 W 42nd St, New York, NY 10036",sex shop,,,Manhattan
Marquis de Suede,"20 W 22nd St, New York, NY 10010",sex shop,,,Manhattan
Hernando's,"9 Christopher St, New York, NY 10014",sex shop,,,Manhattan
Kauffman Saddlery Co,"139 E 24th St, New York, NY 10010",sex shop,,,Manhattan
Ron Alter Designs,"167 8th Ave, New York, NY 10011",sex shop,,,Manhattan
Jorge Menendez,"444 Central Park W, New York, NY 10025",sex shop,,,Manhattan
Amsterdam,"214 W 42nd St, New York, NY 10036",theatre,,,Manhattan
Appolo,"223 W 42nd St, New York, NY 10036",theatre,,,Manhattan
Empire,"W 42nd St & 8th Ave, New York, NY 10036",theatre,,,Manhattan
Lyric,"229 W 42nd St, New York, NY 10036",theatre,,,Manhattan
Selwyn,"239 W 42nd St, New York, NY 10036",theatre,,,Manhattan
Boots and Saddle,"100a 7th Ave S, New York, NY 10014",,,,Manhattan
Boy Bar,"15 St Marks Pl, New York, NY 10003",,,,Manhattan
"Café con Leche, Club Expo/Kit Kat Klub","124 W 43rd St, New York, NY 10036",,,,Manhattan
Central Park,"Central Park, New York, NY  10028",,,,Manhattan
Chi Chiz,"135 Christopher St, New York, NY 10014",,,,Manhattan
Club Fahrenheit,"349 Broadway, New York, NY 10013",,,,Manhattan
Continental Baths at the Ansonia Hotel,"230 W 74th St, New York, NY 10023",,,,Manhattan
Crazy Nanny's,"21 7th Ave S, New York, NY 10014",,,,Manhattan
Duchess/Grove/Pandora's Box,"70 Grove St, New York, NY 10014",,,,Manhattan
Escuelita,"301 W 39th St, New York, NY 10018",,,,Manhattan
Flamingo East,"219 2nd Ave, New York, NY 10003",,,,Manhattan
"Foxy, Velvet","167 Avenue A, New York, NY 10009",,,1998,Manhattan
Life,"158 Bleecker St, New York, NY 10012",,,,Manhattan
Limelight,"47 W 20th St, New York, NY 10011",,,,Manhattan
Mt. Morris Baths,"28 W 125th St, New York, NY 10027",,,,Manhattan
Ninth Circle,"169 W 10th St, New York, NY 10014",,,,Manhattan
Octagon,"555 W 33rd St, New York, NY 10001",,,,Manhattan
Pieces,"8 Christopher St, New York, NY 10014",,,,Manhattan
Pryamid,"101 Avenue A, New York, NY 10009",,,,Manhattan
Roxy,"515 W 18th St, New York, NY 10011",,,,Manhattan
Splash,"50 W. 17th St, New York, NY 10011",,,,Manhattan
Don Hill's,"511 Greenwich StNew York, NY 10013",,,,Manhattan
Sugar Babies,"17 Irving Pl, New York, NY 10003",,,,Manhattan
"Suspect, Nowbar","7th Ave S & Leroy St, New York, NY 10014",,,,Manhattan
The Anvil,"500 W 14th St, New York, NY 10014",,,,Manhattan
The Barefoot Boy,"309 East 39th Street at Second Ave, New York, NY 10016",,,,Manhattan
The Candle Bar,"309 Amsterdam Ave, New York, NY 10023",,,,Manhattan
The Cock Ring,"180 Christopher St, New York, NY 10014",,,,Manhattan
The International Stud,"733 Greenwich St, New York, NY 10014",,,,Manhattan
The Mine Shaft,"835 Washington St, New York, NY 10014",,,,Manhattan
The Monster,"80 Grove St, New York, NY 10014",,,,Manhattan
The Toliet,"400 W 14th St, New York, NY 10014",,,,Manhattan
Townhouse,"236 E 58th St, New York, NY 10022",,,,Manhattan
Tunnel,"220 12th Ave, New York, NY 10001",,,,Manhattan
Twilo,"530 W 27th St, New York, NY 10001",,,,Manhattan
Vinyl,"6 Hubert St, New York, NY 10013",,,,Manhattan
Badlands,"West St/Christopher St, New York, NY 10014",,,,Manhattan
Barbary Coast,"64 7th Avenue, New York, NY 10011",,,,Manhattan
Beau Geste,"239 3rd Ave, New York, NY 10003",,,,Manhattan
Big Dish,"383 W 12th St, New York, NY 10014",,,,Manhattan
Big Wok,"753 Washington St, New York, NY 10014",,,,Manhattan
Black Sheep,"342 W 11th St, New York, NY 10014",,,,Manhattan
Blue Skies,"183 W 10th St, New York, NY 10014",,,,Manhattan
Blowfish,"551 Hudson Street, New York, NY 10014",,,,Manhattan
Carr's,"204 W 10th St, New York, NY 10014",,,,Manhattan
Casa Paco,"330 Bleecker St, New York, NY 10014",,,,Manhattan
Cave,"24 E 22nd St, New York, NY 10010",,,,Manhattan
Cell Block,"372 W 11th St, New York, NY 10014",,,,Manhattan
Charlie & Kelly's,"259 West 4th Street, New York, NY 10014",,,,Manhattan
Chez Stadium,"56 Greenwich Ave, New York, NY 10011",,,,Manhattan
Clyde's,"340 Bleecker St, New York, NY 10014",,,,Manhattan
Danny's First,"139 Christopher St, New York, NY 10014",,,,Manhattan
David's Pot Belly ,"98 Christopher St, New York, NY 10014",,,,Manhattan
Duff's,"115 Christopher St, New York, NY 10014",,,,Manhattan
Duplex,"55 Grove St, New York, NY 10014",,,,Manhattan
Eagle's Nest,"11th Ave & W 21st St, New York, NY 10011",,,,Manhattan
Fedora's,"239 West 4th Street, New York, NY 10014",,,,Manhattan
Five Oaks,"49 Grove St, New York, NY 10014",,,,Manhattan
Four Eleven,"411 Bleecker St, New York, NY 10014",,,,Manhattan
Flamingo   ,"599 Broadway, New York, NY 10012",,,,Manhattan
Gables,"W 10th St & 7th Ave S, New York, NY 10014",,,,Manhattan
Glory Hole,"130 11th Ave, New York, NY 10011",,,,Manhattan
Horn of Plenty,"91 Charles St, New York, NY 10014",,,,Manhattan
Inferno,"5 W 19th St, New York, NY 10011",,,,Manhattan
Infinity,"653 Broadway, New York, NY 10012",,,,Manhattan
Jan Wallman's,"28 Cornelia St, New York, NY 10014",,,,Manhattan
Jeffrey's,"228 W 10th St, New York, NY 10014",,,,Manhattan
Jewel Theatre,"100 3rd Ave, New York, NY 10003",,,,Manhattan
Keller's,"384 West St, New York, NY 10014",,,,Manhattan
Kelly's Village West,"46 Bedford St, New York, NY 10014",,,,Manhattan
Leather Man,"85 Christopher St, New York, NY 10014",,,,Manhattan
Les Mouches,"260 W 11th St, New York, NY 10014",,,,Manhattan
Little Peter's,"St Marks Pl & 3rd Ave, New York, NY 10003",,,,Manhattan
Manhattan South,"1 Sheridan Square, New York, NY 10014",,,,Manhattan
Marie's Crisis,"59 Grove St, New York, NY 10014",,,,Manhattan
M.C.C.,"26 9th Ave, New York, NY 10014",,,,Manhattan
Nite Life,"85 Washington Pl, New York, NY 10011",,,,Manhattan
"One If By Land, Two If By Sea","17 Barrow St, New York, NY 10014",,,,Manhattan
Paula's,"64 Greenwich Ave, New York, NY 10011",,,,Manhattan
Pennyfeathers,"89 7th Ave, New York, NY 10011",,,,Manhattan
Peter Rabbit,"305 W 10th St, New York, NY 10014",,,,Manhattan
Pleasure Chest,"152 7th Ave S, New York, NY 10014",,,,Manhattan
Reno Sweeney,"126 W 13th St, New York, NY 10011",,,,Manhattan
Ruins (Flicks),"158 Perry St, New York, NY 10014",,,,Manhattan
Silouette,"53 W 19th St, New York, NY 10011",,,,Manhattan
Sneakers,"392 West St, New York, NY 10014",,,,Manhattan
Spike Bar,"120 11th Ave, New York, NY 10011",,,,Manhattan
Stallion,"277 Bleecker St, New York, NY 10014",,,,Manhattan
Strap,"130 10th Ave, New York, NY 10011",,,,Manhattan
Studio Book Store,"178 Christopher St, New York, NY 10014",,,,Manhattan
The Bar ,"68 2nd Ave, New York, NY 10003",,,,Manhattan
Trilogy,"135 Christopher St, New York, NY 10014",,,,Manhattan
Two Twenty Club,"220 W Houston St, New York, NY 10014",,,,Manhattan
Ty's,"114 Christopher St, New York, NY 10014",,,,Manhattan
Uncle Paul's,"8 Christopher St, New York, NY 10014",,,,Manhattan
Village Garden,"West 4th Street & Charles St, New York, NY 10014",,,,Manhattan
Village Green,"531 Hudson St, New York, NY 10014",,,,Manhattan
Adonis Cinema,"8th Ave & W 50th St, New York, NY 10019",,,,Manhattan
Backstage,"318 W 45th St, New York, NY 10036",,,,Manhattan
Backyard,"243 E 53rd St, New York, NY 10022",,,,Manhattan
Barnum Room ,"128 W 45th St, New York, NY 10036",,,,Manhattan
Beacon Baths,"227 E 45th St, New York, NY 10017",,,,Manhattan
Better Days,"316 W 49th St, New York, NY 10019",,,,Manhattan
Big Top Theatre,"1604 Broadway, New York, NY 10019",,,,Manhattan
Bike Stop East,"381 3rd Ave, New York, NY 10016",,,,Manhattan
Club 1032,"1032 2nd Ave, New York, NY 10022",,,,Manhattan
Company,"365 3rd Ave, New York, NY 10016",,,,Manhattan
Cowboy & Cowgirl,"244 E 53rd St, New York, NY 10022",,,,Manhattan
Crossroad,"858 9th Ave, New York, NY 10019",,,,Manhattan
Dakota,"550 3rd Ave, New York, NY 10016",,,,Manhattan
Den,"264 W 43rd St, New York, NY 10036",,,,Manhattan
Eros Male Cinema,"732 8th Ave, New York, NY 10036",,,,Manhattan
Follies,"232 W 48th St, New York, NY 10036",,,,Manhattan
Gaiety Male Burlesk,"201 W 46th St, New York, NY 10036",,,,Manhattan
G.G. Knickerbocker,"128 W 45th St, New York, NY 10036",,,,Manhattan
G. H. Club,"353 E 53rd St, New York, NY 10022",,,,Manhattan
Haymarket,"772 8th Ave, New York, NY 10036",,,,Manhattan
Ice Palace 57,"57 W 57th St, New York, NY 10019",,,,Manhattan
Johnny's Pub,"123 E 47th St, New York, NY 10017",,,,Manhattan
King's All Male Theatre,"236 W. 50th Street, New York, NY 10019",,,,Manhattan
La Fiesta,"253 W 46th St, New York, NY 10036",,,,Manhattan
Last Call,"975 2nd Ave, New York, NY 10022",,,,Manhattan
La Stanza,"953 1st Ave, New York, NY 10022",,,,Manhattan
Neptune's Pub,"730 8th Ave, New York, NY 10036",,,,Manhattan
New David Cinema,"236 W 54th St, New York, NY 10019",,,,Manhattan
"New York, New York","33 E 52nd St, New York, NY 10022",,,,Manhattan
Ossi Guest House,"358 W 30th St, New York, NY 10001",,,,Manhattan
Paradise  ,"35 W 43rd St, New York, NY 10036",,,,Manhattan
Pigalle Pigalle,"1047 2nd Ave, New York, NY 10022",,,,Manhattan
Place Across the Street,"56 W 46th St, New York, NY 10036",,,,Manhattan
Pleasure Chest,"939 2nd Ave, New York, NY 10022",,,,Manhattan
Prive,"1st Ave. & E 59th St, New York, NY 10022",,,,Manhattan
Ramrod Theatre,"210 W 49th St, New York, NY 10019",,,,Manhattan
Regency East,"204 E 58th St, New York, NY 10022",,,,Manhattan
Rendezvous Book Store,"38 W 28th St, New York, NY 10001",,,,Manhattan
Sauna Baths,"300 W 58th St, New York, NY 10019",,,,Manhattan
Singles,"951 1st Ave, New York, NY 10022",,,,Manhattan
Solos,"248 E 52nd St, New York, NY 10022",,,,Manhattan
Tijuana Cat,"350 W 46th St, New York, NY 10036",,,,Manhattan
Tom Cat Book Store,"38 W 28th St, New York, NY 10001",,,,Manhattan
Uncle Charlie's Restaurant,"542 3rd Ave, New York, NY 10016",,,,Manhattan
Uncle Charlie's South,"581 3rd Ave, New York, NY 10016",,,,Manhattan
York's Restaurant,"710 2nd Ave, New York, NY 10016",,,,Manhattan
Andre's,"W 125th St & Frederick Douglass Blvd, New York, NY 10027",,,,Manhattan
Bike Stop West,"230 W 75th St, New York, NY 10023",,,,Manhattan
Boot Hill,"317 Amsterdam Ave, New York, NY 10023",,,,Manhattan
Bushes,"23 W 73rd St, New York, NY 10023",,,,Manhattan
Chap's,"1558 3rd Ave, New York, NY 10128",,,,Manhattan
Chez Roman,"1406 3rd Ave, New York, NY 10075",,,,Manhattan
Dapper & Friends,"350 E 81st St, New York, NY 10028",,,,Manhattan
David  ,"1007 Lexington Ave, New York, NY 10021",,,,Manhattan
Fulton's Sidewalk Café,"2061 Broadway, New York, NY 10023",,,,Manhattan
Grand Finale,"210 W 70th St, New York, NY 10023",,,,Manhattan
Half Breed,"168 Amsterdam Ave, New York, NY 10023",,,,Manhattan
Hurrah,"36 W 62nd St, New York, NY 10023",,,,Manhattan
Harry's Back East,"1422 3rd Ave, New York, NY 10028",,,,Manhattan
Main Man ,"305 Columbus Ave, New York, NY 10023",,,,Manhattan
Nickel Bar,"127 W 72nd St, New York, NY 10023",,,,Manhattan
Numbers,"2057 Broadway, New York, NY 10023",,,,Manhattan
Painted Pony,"1485 3rd Ave, New York, NY 10028",,,,Manhattan
Peeche,"1200 Lexington Ave, New York, NY 10028",,,,Manhattan
Sahara,"1234 2nd Ave, New York, NY 10065",,,,Manhattan
Stormy Weather,"1574 2nd Ave, New York, NY 10028",,,,Manhattan
Twilight,"1463 3rd Ave, New York, NY 10028",,,,Manhattan
Uncle Charlie's North,"1049 Lexington Ave, New York, NY 10021",,,,Manhattan
Warehouse Pier 51,"324 Amsterdam Ave, New York, NY 10023",,,,Manhattan
Wildwood Tavern,"308 Columbus Ave, New York, NY 10023",,,,Manhattan
Bali Club,"234 W 50th St, New York, NY 10019",,,,Manhattan
The Bridge,"335 E 58th St, New York, NY 10022",,,,Manhattan
Charade Club,"2nd Ave & E 93rd St, New York, NY 10128",,,,Manhattan
Candy Store,"44 W 56th St, New York, NY 10019",,,,Manhattan
Candlelight Lounge,"309 Amsterdam Ave, New York, NY 10023",,,,Manhattan
Faller's Bar,"West St & Christopher St, New York, NY 10014",,,,Manhattan
Four Seasons,"99 E 52nd St, New York, NY 10022",,,,Manhattan
The Gold Rail,"2850 Broadway, New York, NY 10025",,,,Manhattan
Gantry,"6th Ave & W 13th St, New York, NY 10011",,,,Manhattan
L'Intrigue,"35 W 56th St, New York, NY 10019",,,,Manhattan
Milano's Lounge,"267 Amsterdam Ave, New York, NY 10023",,,,Manhattan
Moroccan Village,"23 W 8th St, New York, NY 10011",,,,Manhattan
The Nautilus,"267-269 W 23rd St, New York, NY 10011",,,,Manhattan
The Old Vic,"2nd Ave & E 59th St, New York, NY 10022",,,,Manhattan
Plaza Hotel Men's Bar,"5th Ave & Central Park S, New York, NY 10019",,,,Manhattan
Pam-Pam,"95 7th Ave, New York, NY 10011",,,,Manhattan
P.M.,"204 E 18th St, Brooklyn, NY 11226",,,,Manhattan
Pauline's Interlude,"2267 7th Ave, New York, NY 10027",,,,Manhattan
Red Swing,"57 Lexington Ave, New York, NY 10016",,,,Manhattan
Sea Colony,"Horatio St & 8th Ave, New York, NY 10014",,,,Manhattan
Seventeen Barrow Street,"17 Barrow St, New York, NY 10014",,,,Manhattan
