name,address,type,opened,closed,borough,date_approx
New Deal,"152 Spring St, New York, NY 10012",bar,1982,1984,Manhattan,yes
Last Resort,"153 1st Ave, New York, NY 10003",bar,1982,1984,Manhattan,yes
New Jimmy's Supper Club,"1576 3rd Ave, New York, NY 10128",bar,1972,1984,Manhattan,yes
Blue Skies,"183 W 10th St, New York, NY 10014",restaurant,1980,1984,Manhattan,yes
La Bamba,"192 2nd Ave, New York, NY 10003",bar,1983,1984,Manhattan,yes
Nightingale,"213 2nd Ave, New York, NY 10003",bar,1983,1984,Manhattan,yes
Andre's Bar,"2321 Frederick Douglass Blvd, New York, NY 10027",bar/restaurant,1980,1984,Manhattan,yes
Daddy's,"238 3rd Ave, New York, NY 10003",bar,1983,1984,Manhattan,yes
Dallas,"243 E 53rd St, New York, NY 10022",bar,1982,1984,Manhattan,yes
Le Bar,"243 E 53rd St, New York, NY 10022",bar,1983,1984,Manhattan,yes
TR's,"248 E 52nd St, New York, NY 10022",bar,1983,1984,Manhattan,yes
Fridas's,"25 3rd Ave, New York, NY 10003",disco,1982,1984,Manhattan,yes
Bleeker Street,"302 Bleecker St, New York, NY 10014",bar,1974,1984,Manhattan,yes
Bucks,"324 Amsterdam Ave, New York, NY 10023",bar,1983,1984,Manhattan,yes
Bullet Bar,"372 W 11th St, New York, NY 10014",bar,1983,1984,Manhattan,yes
Alex in Wonderland,"40 10th Ave, New York, NY 10014",bar,1980,1984,Manhattan,yes
Saturday Night Dance Club,"531 W 19th St, New York, NY 10011",disco,1983,1984,Manhattan,yes
Hot Ice,"57 W 57th St, New York, NY 10019",disco,1983,1984,Manhattan,yes
Network,"579 6th Ave, New York, NY 10011",disco,1983,1984,Manhattan,yes
Rhythm,"6826 New Utrecht Ave, Brooklyn, NY 11219",disco,1980,1984,Brooklyn ,yes
Phoenix,"73 8th Ave, New York, NY 10014",bar,1983,1984,Manhattan,yes
Big Wok,"753 Washington St, New York, NY 10014",restaurant,1980,1984,Manhattan,yes
"Manhattan, A Bar","76-13 Roosevelt Ave Jackson Heights, NY 11372",bar,1983,1984,Queens,yes
Pharoah,"8 Christopher St, New York, NY 10014",restaurant,1983,1984,Manhattan,yes
Horn of Plenty,"91 Charles St, New York, NY 10014",restaurant,1969,1984,Manhattan,yes
Nightbird,"92 2nd Ave, New York, NY 10003",restaurant,1983,1984,Manhattan,yes
Knight Deposit,"938 Amsterdam Ave, New York, NY 10025",bar,1983,1984,Manhattan,yes
Crawfords,"957 1st Ave, New York, NY 10022",restaurant,1983,1984,Manhattan,yes
Blueboy Disco,"96-22 Queens Blvd Rego Park, NY 11374",disco,1983,1984,Queens,yes
Mood Club,"77 White St, New York, NY 10013",private-club,1983,1984,Manhattan,yes
Club Baths,"24 1st Ave, New York, NY 10009",baths,1971,1985,Manhattan,no
The River Club,"491 West St, New York, NY 10014",disco,1981,1985,Manhattan,no
Ice Palace 57,"57 W 57th St, New York, NY 10019",disco,1977,1985,Manhattan,no
New St. Marks baths,"6 St Marks Pl, New York, NY 10003",baths,1979,1985,Manhattan,no
Our Place,"7702 Broadway, Elmhurst, NY 11373",bar,1980,1985,Queens,no
Beach Haven Bar,"901 Father Capodanno Blvd, Staten Island, NY 10305",bar,1963,1985,Staten Island,no
Sunset Boulevard,"112-01 Queens Blvd Forest Hills, NY 11375",bar/disco,1984,1985,Queens,yes
Van D's,"123 E 18th St, New York, NY 10003",restaurant,1984,1985,Manhattan,yes
Madison Card & Book Shop,"123 E 57th St, New York, NY 10022",bookstore,1980,1985,Manhattan,yes
Nickel Bar,"127 W 72nd St, New York, NY 10023",bar,1974,1985,Manhattan,yes
Blue Fox,"131 8th Ave, New York, NY 10011",bar/restaurant,1982,1985,Manhattan,yes
