name,address,type,opened,closed,borough,date approx.,latitude,longitude
Tunnel cruising spot,"547 W 20th St, New York, NY 10011",cruising,1960,2000,Manhattan,yes,40.746618604514,-74.007289655559
Bloomingdale's,"59th Street and, 1000 Third Avenue, Lexington Ave, New York, NY 10022",cruising,1960,2000,Manhattan,yes,40.761549732671,-73.966584061159
Bus Station,"628 8th Ave, New York, NY 10018",cruising,1960,2000,Manhattan,yes,40.756201416369,-73.990456384716
New School,"66 West 12th Street, New York, NY 10011",cruising,1960,2000,Manhattan,yes,40.735520557301,-73.996747340659
Cruising Spot,"68-12 37th Rd, Woodside, NY 11377",cruising,1960,2000,Queens,yes,40.747540194144,-73.897310332601
Cruising Spot,"6th Ave & Greenwich Ave, New York, NY 10011",cruising,1960,2000,Manhattan,yes,40.733613739298,-73.999555552293
Cruising Spot,"915 3rd Ave, New York, NY 10022",cruising,1960,2000,Manhattan,yes,40.759030363774,-73.968333471373
Cruising Spot,"Bleecker St & Hudson St, New York, NY 10014",cruising,1960,2000,Manhattan,yes,40.736570238931,-74.005572050187
Cruising Spot,"Christopher St & West St, New York, NY 10014",cruising,1960,2000,Manhattan,yes,40.732475877752,-74.010056855499
Cruising Spot,"E 70th St & Third Avenue, New York, NY  10021",cruising,1960,2000,Manhattan,yes,40.768434731147,-73.961557562352
Riverside Park,"R25M+R3, New York, NY 10025",cruising,1960,2000,Manhattan,yes,40.706473253071,-74.011990490151
Bryant Park,"W 42nd St & 5th AveNew York, NY 10036",cruising,1960,2000,Manhattan,yes,40.753476734754,-73.980889557067
Cruising Spot,"W 75th St & Amsterdam Ave, New York, NY  10023",cruising,1960,2000,Manhattan,yes,40.78055772943,-73.98021005564
Cruising Spot,"W 77th St & Central Park W, New York, NY  10024",cruising,1960,2000,Manhattan,yes,40.779477729408,-73.973572557832
Le Club,"416 E 55th St. New York, NY 10022",private club/restaurant,1960,1995,Manhattan,,40.756310024192,-73.962366458169
Pompier Restaurant,"82 W 3rd St, New York, NY 10012",restaurant,1960,1967,Manhattan,no,40.729727284852,-73.998837553922
Variety Theater,"111 3rd Ave, New York, NY 10003",cruising at movies,1960,1990,Manhattan,yes,40.732773819936,-73.987474107554
Park Miller Theater,"151 W 42nd St, New York, NY 10036",cruising at movies,1960,1990,Manhattan,yes,40.755385542479,-73.985241921593
The Kings,"236 W 50th St, New York, NY 10019",cruising at movies,1960,1990,Manhattan,yes,40.761687734819,-73.984832884748
Thalia,"2541 Broadway, New York, NY 10025",cruising at movies,1960,1990,Manhattan,yes,40.794112112204,-73.97226833732
Riverside,"2568 Broadway, New York, NY 10025",cruising at movies,1960,1990,Manhattan,yes,40.794961609494,-73.971474497058
Tomcat Theater,"424 W 42nd St, New York, NY 10036",cruising at movies,1960,1990,Manhattan,yes,40.758799150425,-73.993672132021
Starlite Lounge,"1084 Bergen St, Brooklyn, NY 11216",bar,1962,2010,Brooklyn,no,40.676049378048,-73.95013486691
Ninth Circle,"169 W 10th St, New York, NY 10014",bar/restaurant,1962,2002,Manhattan,yes,40.734387386905,-74.002479787133
